id,name,space,neighborhood_overview,host_id,host_name,host_since,host_response_time,host_response_time_minutes_to_response,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,market,country,property_type,room_type,accommodates,square_feet,price_night,cleaning_fee,availability_365,occupancy_rate,number_of_reviews,review_scores_value,calculated_host_listings_count,reviews_per_month,year_revenue,airbnb_commission,year_profit,greater_than_average
2265,Zen-East in the Heart of Austin,"This colorful and clean 1923 house was completely remodeled in 2004. The house is a 2BR/ 2BA (1350 sq') with a pillow top queen bed in the large master with full private bath and a double futon bed (floor level) in an office which converts to a small guest room adjacent to a full bathroom in the hallway. The following amenities are included: CACH, WIFI, HDTV, washer/dryer, fully equipped kitchen, street parking, fenced back yard with semi privacy fence/deck and front yard with covered porch, pecan, crepe myrtle and other trees provide shade and floral displays in spring. Whatever is growing in the organic garden, you're welcome to pick and enjoy! Dwellers are culturally diverse and an eclectic blend of artists, professors, students, city employees, long time elderly, retired and business professionals. You will see new home construction as well as old homes in the 'hood. Please note higher rates during SXSW, Formula One and ACL: $325-$400 per night with minimum 4 night stay for SXSW",,2466,Paddy,8/23/08,within an hour,15,100%,East Downtown,3,East Downtown,Austin,TX,78702,Austin,United States,House,Entire home/apt,4,N/A,$225.00,$100.00,68,40.8,411,9,3,0.2,,,,0
5245,"Green, Colorful, Clean & Cozy home","Situated in a vibrant & diverse multicultural neighborhood & within walking distance of many great restaurants, cafes, performance/art spaces, UT campus, downtown & just a few miles from a beautiful trail ~ Ladybird Lake. This green, colorful, clean and cozy house was built in 1923 and remodeled in 2004. As the homeowner, I've taken the liberty to paint each room a different color. The house has plenty of light, shade trees, a fenced back yard and deck, a front porch for sitting with simple landscaping. Conveniently located in central east Austin, you are: 1 - 2 miles from the University of Texas, Downtown & the Austin Convention Center. You'll find yourself near local cafes and restaurants (Eastside, El Chile, Blue Dahlia, Eastside Pies, Bennu, Salty Sow, Farmacie, Dai Due, Justine's and much more). You're ~ 3 miles from Wheatsville Food Coop, Whole Foods (downtown), Central Market & the Lady Bird Lake trail. Just a 5 minute walk to Commuter Rail Station will take you downtown duri",,2466,Paddy,8/23/08,within an hour,55,100%,East Downtown,3,East Downtown,Austin,TX,78702,Austin,United States,House,Private room,2,N/A,$125.00,$75.00,179,107.4,223,9,3,0.08,,,,0
5456,"Walk to 6th, Rainey St and Convention Ctr","Cute Private Studio apartment located in Willow Spence National Historic District. It is walking distance from Convention Center (3 1/2 blks) and Entertainment District. Save on cab fares. Bus stop around the corner, takes you straight downtown. Worried about food? Great food abounds! Iron works BBQ 3 blks away, Cenote and 24 HR IHOP 2 blks away, Rainey Street with bars and restaurants only 2 1/2 blks away , all within a safe walking distance. The apartment is located upstairs above garage, completely separate from the main house. This little 1930's apartment features wood floors and lots of windows. The kitchen has a full size refrigerator, sink, granite counter-top, microwave, hotpot, toaster oven and coffee-maker. The kitchen does NOT have a working cooktop. The apartment has 32"" LCD TV and Roku with netfix , HULU and Amazon Plus, as well as Books to read. The apartment is equipped with Air Conditioning,heating, blow dryer, ironing board and iron. One double ( Ser","My neighborhood is ideally located if you want to walk to bars and restaurants downtown, East 6th Street or Rainey Street. The Convention Center is only 3 1/2 blocks away and a quick 10 minute walk.",8028,Sylvia,2/16/09,within a few hours,312,100%,East Downtown,1,East Downtown,Austin,TX,78702,Austin,United States,Guesthouse,Entire home/apt,3,N/A,$95.00,,318,190.8,456,10,1,3.9,,,,0
5769,NW Austin Room,"Looking for a comfortable inexpensive room to stay for a night? A week or more? Join us in our northwest Austin home where the house is tidy, nicely decorated and we are friendly, responsible, courteous hosts. Single or couples welcome. I have one small, very shy and quiet dog and we welcome travelers from all over. You can enjoy your coffee in the morning on the deck with a large backyard, or in the dining area. Your own Parking spot can be found in front of the house on the granite gravel driveway just beside the mailbox. The bedroom available in this listing accommodates two persons on a queen bed. It is next to my study and craft room that sometimes serves as another guest room for a visiting family member or friend but rarely have anyone stay unless I decide to open up this additional space for SXSW, ACL, etc. This room listing is my primary listing but wanted you to be aware of the 2nd bedroom that may on rare occasions be occupied by another guest. The bathroom is in",Quiet neighborhood with lots of trees and good neighbors.,8186,Elizabeth,2/19/09,within an hour,8,100%,SW Williamson Co.,1,SW Williamson Co.,Austin,TX,78729,Austin,United States,House,Private room,2,N/A,$40.00,,8,4.8,237,10,1,2.28,,,,0
6413,Gem of a Studio near Downtown,"(License #114332) Large, contemporary studio apartment available for vacation and short-term corporate rental. It's just south of the river and walkable to much of Austin's downtown scene. Our studio apartment sits above the garage and is detached from our main house. It's nicely appointed with plenty of modern amenities. A 37"" HDTV with DirecTV Now, Netflix, Amazon, etc., nice cotton sheets, a full kitchen, great private patio with lounge chairs and umbrella, broadband wi-fi, a full bath and shower with its own tankless water heater and more just to name a few features. We're just south of downtown Austin in the Travis Heights neighborhood. Being just about a mile and half to the Capitol, it's one of the oldest, and being south, it's Austin eclectic. To give you a sense of what's nearby: - About 1 block to the buses going into downtown and less returning (routes 7 and 20) - Across from the Town Lake Hike and Bike Trail, which is up to a 10-mile loop - 1 mile to the convention center","Travis Heights is one of the oldest neighborhoods in Austin. Our house was built in 1937. We rebuilt the apartment in 2009 (well, finished and furnished it for rental then). From the studio it's a pretty easy 1-mile walk through the neighborhood to all the shops and restaurants on South Congress.",13879,Todd,4/17/09,N/A,N/A,N/A,Travis Heights,1,Travis Heights,Austin,TX,78704,Austin,United States,Apartment,Entire home/apt,2,550,$99.00,$50.00,20,12,79,10,1,0.73,,,,0
6448,Secluded Studio in 78704 (Zilker),"Stay in our lovely 1 bedroom garage apartment and enjoy the quiet of our 78704 'hood while being close-in for all the fun! Walking distance to downtown, hop on a 7-min Capital Metro bus (rte 29), or take a $5 cab/Uber ride in. Also, 5-10 min walk to restaurants (Chuy's, Shady Grove, Austin Java, Shake Shack, Uchi), Alamo Drafthouse, and Barton Springs Bike Rental. Want more? Zilker Park, Barton Springs Pool, Barton Creek Greenbelt, Hike and Bike Trail, and other outdoor entertainment all within one mile. The apartment: One bedroom with queen bed, bath, kitchenette, WiFi/Internet access (no cable TV, sorry). Pull-out memory-foam couch also available (and/or inflatable mattress). 32"" flat screen TV. Kitchenette has full size stove/oven, mini refrigerator, coffee maker, toaster, blender, and microwave. It is also stocked with coffee, tea, creamer, and sweeteners. Iron, hairdryer, extra pillows, and blankets also provided. Located above our garage in our quiet backyard. Hardwoods and n",The neighborhood is fun and funky (but quiet)! People are friendly and you can't beat the location.,14156,Amy,4/20/09,within an hour,55,100%,Zilker,2,Zilker,Austin,TX,78704,Austin,United States,Guesthouse,Entire home/apt,3,N/A,$129.00,,180,108,325,10,2,2.18,,,,0
8502,Woodland Studio Lodging,"Fully furnished suite with kitchen, bathroom, breakfast counter, sitting area with sofa, and queen-sized bed. Private patio entrance opens out onto large yard. Stay close to downtown, SoCo, and artsy East Austin. This quiet neighborhood just off of Woodland Avenue has beautiful old oak trees, so it stays pleasant and shady through the summer. Nearby city bus routes, so it is easy and inexpensive to get around, even if you don't have a car. (Avoid the hassles of parking, too!) Or rent a bike instead of a car. Within easy reach of the airport. Stays of 2 weeks or more are $50/night. Please ask and we can send a special offer with the reduced pricing. Higher rates may apply during holidays, special events, depending on length of your stay. Please note, although there is a wireless internet connection, there is not a tv in the studio. Austin Short Term Rental License #085368",,25298,Karen,7/11/09,within a day,235,100%,East Riverside,1,East Riverside,Austin,TX,78741,Austin,United States,Apartment,Entire home/apt,2,N/A,$40.00,$85.00,180,108,44,9,1,0.42,,,,0
14765,"30's Cottage, Trav Height, SoCo, mins to Downtown","Sleeps 5; 2 BR, 2 Bath. The upstairs Treehouse Bedroom and Bath has a sitting area and queen tempurpedic bed; The downstairs Patio bedroom and Bath has a queen bed and extra single bed (upon request); it opens to a private sitting patio through double french doors. The sunny Living room has a comfortable twin futon bed/ couch. Please note Pet Fee of $40 (enclosed patio). The historic Travis Heights home is beautifully decorated and landscaped, modern everything, central air/heat, full size washer/dryer, shaded and gated patio and plenty of off-street parking, large pecan trees, lots of light and charm. Next to a walk bridge across the Blunn Creek and you are in Stacy park, 1 mile long with a 30 meter swimming pool. Walk to the Congress Ave Bridge to watch the bats fly and visit Downtown's famous 6th, 4th, and now 2nd Street districts for live music and night life. The home nestled under towering Pecan and Live Oak trees is ‘Old Austin' at its finest. Experience its grace, romance an","South Austin is eclectic mix, known for funky creativity, street musicians and friendliness. Though somewhat gentrified as Austin has grown, this central, almost downtown neighborhood is cherished for being down-home, helpful and appreciative of diversity. Congress avenue is a stream of people watching; while so close, it does not impact our the quiet neighborhood.",57982,Charla,11/27/09,within a few hours,258,100%,Travis Heights,1,Travis Heights,Austin,TX,78704,Austin,United States,House,Entire home/apt,5,N/A,$260.00,$0.00,321,192.6,41,9,1,0.6,,,,0
14913,Blue Boy Club House / Music Venue,"What stands out here is that the property is very large with huge trees a stage and party pit plus a very large above ground pool and a sauna. It is very private yet very close to shopping, restaurants etc. I also have a rv on site that sleeps 3 people for an additional fee.",This is a very private property with a park like feel. It's pretty awesome out here.,58635,Steven,11/30/09,N/A,N/A,N/A,,2,,Austin,TX,78748,Austin,United States,House,Entire home/apt,6,N/A,$300.00,$50.00,363,217.8,25,10,1,0.45,,,,0
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,"Relax and enjoy the light-filled, contemporary space - just minutes from lively South Congress Ave. (SoCo) and downtown. Beautifully appointed with custom walnut cabinetry, stained concrete floors, stainless appliances, and modern, cozy furnishings. When you're ready to venture, there are abundant choices nearby sure to entertain every type of traveler - from fantastic restaurants and boutique shops, to live music, to hike and bike trails. SWEET DREAMS Both artfully designed bedrooms feature Queen-Size Beds, Ultra-Comfortable Mattresses, High Thread Count sheets and Organic Cotton Duvets. The Master Bedroom boasts a large Walk-In Closet. In case of extra sleeping requirements, extra linens and a pillow for the sectional living room sofa are provided. CHEF'S KITCHEN Indulge your culinary desires on the gas range, under a beautiful, stainless steel vent hood. The fully equipped kitchen features stainless appliances, microwave, a French press coffee maker, toaster, blender, and a garbage","It's only a 10-minute walk to vibrant South Congress Avenue (aka SoCo) and its fantastic restaurants, cafes, boutiques, and music venues. Nearby Big Stacy Park has three acres of walking trails and a heated, spring-fed swimming pool for water babies.",80406,Dani,2/11/10,N/A,N/A,N/A,Travis Heights,11,Travis Heights,Austin,TX,78704,Austin,United States,House,Entire home/apt,5,N/A,$550.00,$80.00,142,85.2,63,10,11,0.91,,,,0
21145,"Central, Pet Friendly, Private Pool, Non Smoking","Located only a few blocks from the University of Texas in the West Campus area and just minutes from downtown, this cute and comfortable smoke-free 2BR/1BA house is right in the heart of Austin. The guest house is located on the second floor on the back of the lot. (See photos for full view of house and carport.) The master bedroom has a king size bed & overlooks the large swimming pool & heated spa. Second bedroom has one full/double bed, one twin bed, and a TV with satellite. Kitchen is fully equipped and gigabit wireless Internet is available - even by the pool. Plenty of off-street parking and convenient to shopping, music venues, and most major tourist attractions. House is in a quiet neighborhood with lots of trees and privacy. Pets and children over the age 5 are welcome at no extra charge. House is also close to public transportation and within walking distance of campus, shopping, museums, live music, and theater venues. Rates already include all taxes & cleaning fees! Upon re","Our neighborhood is a mix of students and single family houses, so it is very eclectic. There are plenty of restaurants and shops to walk to nearby and we're within minutes of almost everything else.",80511,April,2/12/10,N/A,N/A,N/A,West Campus,1,West Campus,Austin,TX,78705,Austin,United States,House,Entire home/apt,6,800,$225.00,,159,95.4,28,10,1,0.86,,,,0
22166,Close in Hill country views NW,"1900 square foot home in Austins pretigous Arboretum. Beautiful Hill Country views from two decks. Walk to shopping and restaurants. 10 minutes to downtown and the lakes. Home has two large bedrooms with private baths and half bath downstairs. living, dining and large kitchen. Granite and travertine upgrades. stainless appliances, large two car garage, hardwood floors, private street. Jacuzzi and pool within meters. Wireless internet, flat screen TV's in Master and living room with satellite Television. Everything you need and very safe and private but close to everything. only 10 minutes to the center of town or the Lake Austin! $100 cleaning fee required upon check in in form of check or money order. Longer term leases will have separate deposit, no cleaning fee but will be expected to clean professionally prior to move out or deducted from Deposit. Non Smoking home. 3 month lease or longer enjoys discounted rates and separate deposit. Shorter Stay options avai",,84906,Stacey,2/24/10,N/A,N/A,N/A,,2,Balcones Civic Association,Austin,TX,78759,Austin,United States,Condominium,Entire home/apt,4,1900,$155.00,$150.00,290,174,9,10,1,0.09,,,,0
